字段	字段含义	字段说明
Start_Date_Time	统计开始时间	统计开始时间，结构为：2011-08-10 20:00:00
Abnormal_reason	异常原因	存为整数，对应关系如sheet“异常原因存储code”所示
Abnormal_reason_Count	异常原因次数统计	次数累加
Service_TYPE	业务类型	业务识别代码，整数，对应关系如sheet“业务识别存储code”所示
Sub_Service_Type	具体业务	具体业务识别代码，整数，对应关系如sheet“业务识别存储code”所示
SGSN	SGSN名称	作为统计维度
GGSN	GGSN名称	作为统计维度
Protocol	使用协议	1为WAP1.0，2为HTTP
APN	APN	作为统计维度
RAT_TYPE	2/3G	1为3G,2为2G
SGSN_IP	SGSN_IP	作为统计维度
GGSN_IP	GGSN_IP	作为统计维度
IMSI	IMSI	作为统计维度
Prefix_IMEI	IMEI前8位	作为统计维度
URI_MAIN	网站	作为统计维度
LAC	LAC	作为统计维度
CI	小区	作为统计维度
IP_LEN_ALL	IP流量累加	IP流量累加
IP_LEN_UL	上行IP流量累加	上行IP流量累加
IP_LEN_DL	下行IP流量累加	下行IP流量累加
Operation_Count	次数累加	次数累加
		
		
		Text strings
