abnormal_reason_code	abnormal_reason_description	abnormal_reason_type	abnormal_reason_trigger_reason	abnormal_reason_suggest
1059	系统失败(59/204)	GTP错误：网络原因	1、GSN设备系统故障	1、请检查GGSN与WAP网关、RADIUS服务器、DHCP服务器路由是否存在问题；2、请检查防火墙是否存在问题
1193	消息格式无效(193)	GTP错误：协议错误	1、未知、未预期或内容错误的消息；2、设备的GTP版本不同；3、GTP消息太短，没有包含发送端使用的GTP版本所要求的全部GTP字头4、未知的GTP控制平面消息。	未定义
1199	资源不足(199)	GTP错误：网络原因	1、系统资源不足	1、请检查故障分布的GGSN是否本地GGSN，如果是请考虑扩容
1201	必选IE不正确(201)	GTP错误：协议错误	1、接收者接收到的GTP控制平面请求消息中的必须IE不正确	未定义
1202	必选IE缺失(202)	GTP错误：协议错误	1、请求消息中没有携带必选IE	未定义
1203	可选IE错误(203)	GTP错误：协议错误	1、请求消息中的可选IE不正确	未定义
1204	系统失败(59/204)	GTP错误：网络原因	1、GSN设备系统故障	1、请检查GGSN与WAP网关、RADIUS服务器、DHCP服务器路由是否存在问题；2、请检查防火墙是否存在问题
1209	用户鉴权失败(209)	GTP错误：用户原因	1、用户没有通过鉴权；2、网络没有要求鉴权，但用户携带了鉴权请求。	1、检查用户是否预付费用户？是否存在欠费情况？
1210	无法找到上下文(210)	GTP错误：网络原因	1、在当前GGSN无法找到PDP上下文	1、请查找该用户在故障前后的流程，查看是否存在异常去激活的PDP上下文；2、请检查GSN去激活定时器时长已经该用户数据是否在GSN上被删除。
1211	所有的动态PDP地址都被占用(211)	GTP错误：网络原因	1、PDP地址池耗尽	1、检查PDP地址池状态，评估是否需要进行扩容
1212	无内存可用(212)	GTP错误：网络原因	1、内存空间不足，没有为其开辟内存	未定义
1215	TFT操作语法错误(215)	GTP错误：协议错误	1、二次PDP激活请求或MS发起PDP更新时请求的TFT无效	1、请检查TFT设置是否存在错误
1216	TFT操作句法错误(216)	GTP错误：协议错误	1、TFT操作是"Create a new TFT"时，TFT IE中的分组过滤列表为空；2、在TFT IE译码中出现了其它类型的语法错误，例如子域的分组过滤器的数量与分组过滤列表中的过滤器数量不匹配。	1、请检查TFT设置是否存在错误
1217	数据包过滤器语法错误(217)	GTP错误：协议错误	1、网络已经激活了不使用TFT的PDP上下文	1、请检查用户完整流程是否正确
1218	数据包过滤器句法错误(218)	GTP错误：协议错误	1、当TFT操作为"Create a new TFT"时，并且在合成的TFT中两个或多个分组过滤器都有相同的分组过滤标识；2、当TFT操作为"Create a new TFT"时，并且在所有PDP地址有关联的TFT中两个或多个分组过滤器都有相同分组过滤优先级；3、在分组过滤编码中有其它类型的语法错误，例如使用保留值作为分组过滤构成的标识。	1、请检查TFT设置是否存在错误
1219	未知或者漏配的APN(219)	GTP错误：用户原因	1、用户上报的APN与用户在HLR中签约APN信息不符合	1、提示用户重新设置有效的APN进行上网
1220	未知的PDP地址或者PDP类型(220)	GTP错误：用户原因	1、GGSN不支持该用户设置的静态PDP地址或者PDP类型，如使用IPv6地址类型	1、提示用户重新设置有效的PDP地址进行上网
1222	APN接入拒绝－没有签约(222)	GTP错误：网络原因	1、用户未签约请求的APN	未定义
1901	PDP创建网络无响应	网络无响应	1、终端侧未收到任何网络响应消息	1、检查故障分布规律，是否集中分布在某段时间或某个网元
1902	PDP创建过程掉线：用户原因	异常连接断开/掉线	1、在PDP创建过程中，用户由于某种原因离线	1、属于用户原因
1903	PDP创建过程掉线：网络原因	异常连接断开/掉线	1、在PDP创建过程中，网络由于某种原因掉线	1、检查故障前后信令流程
2192	不存在PDP上下文(192)	GTP错误：用户原因	1、不存在PDP上下文或者没有激活的PDP上下文	1、请查找该用户在故障前后的流程，查看是否存在异常去激活的PDP上下文；2、请检查GSN去激活定时器时长已经该用户数据是否在GSN上被删除。
2193	消息格式无效(193)	GTP错误：协议错误	1、未知、未预期或内容错误的消息；2、设备的GTP版本不同；3、GTP消息太短，没有包含发送端使用的GTP版本所要求的全部GTP字头4、未知的GTP控制平面消息。	未定义
2200	服务不支持(200)	GTP错误：用户原因	1、GGSN不支持相关业务,无法激活	未定义
2201	必选IE不正确(201)	GTP错误：协议错误	1、接收者接收到的GTP控制平面请求消息中的必须IE不正确	未定义
2202	必选IE缺失(202)	GTP错误：协议错误	1、请求消息中没有携带必选IE	未定义
2203	可选IE错误(203)	GTP错误：协议错误	1、请求消息中的可选IE不正确	未定义
2901	PDP删除网络无响应	网络无响应	未定义	未定义
3059	系统失败(59/204)	GTP错误：网络原因	1、GSN设备系统故障	1、请检查GGSN与WAP网关、RADIUS服务器、DHCP服务器路由是否存在问题；2、请检查防火墙是否存在问题
3192	不存在PDP上下文(192)	GTP错误：用户原因	1、不存在PDP上下文或者没有激活的PDP上下文	1、请查找该用户在故障前后的流程，查看是否存在异常去激活的PDP上下文；2、请检查GSN去激活定时器时长已经该用户数据是否在GSN上被删除。
3193	消息格式无效(193)	GTP错误：协议错误	1、未知、未预期或内容错误的消息；2、设备的GTP版本不同；3、GTP消息太短，没有包含发送端使用的GTP版本所要求的全部GTP字头4、未知的GTP控制平面消息。	未定义
3199	资源不足(199)	GTP错误：网络原因	未定义	未定义
3200	服务不支持(200)	GTP错误：用户原因	1、GGSN不支持相关业务,无法激活	未定义
3201	必选IE不正确(201)	GTP错误：协议错误	1、接收者接收到的GTP控制平面请求消息中的必须IE不正确	未定义
3202	必选IE缺失(202)	GTP错误：协议错误	1、请求消息中没有携带必选IE	未定义
3203	可选IE错误(203)	GTP错误：协议错误	1、请求消息中的可选IE不正确	未定义
3204	系统失败(59/204)	GTP错误：网络原因	1、GSN设备系统故障	1、请检查GGSN与WAP网关、RADIUS服务器、DHCP服务器路由是否存在问题；2、请检查防火墙是否存在问题
3215	TFT操作语法错误(215)	GTP错误：协议错误	1、二次PDP激活请求或MS发起PDP更新时请求的TFT无效	1、请检查TFT设置是否存在错误
3216	TFT操作句法错误(216)	GTP错误：协议错误	1、TFT操作是"Create a new TFT"时，TFT IE中的分组过滤列表为空；2、在TFT IE译码中出现了其它类型的语法错误，例如子域的分组过滤器的数量与分组过滤列表中的过滤器数量不匹配。	1、请检查TFT设置是否存在错误
3217	数据包过滤器语法错误(217)	GTP错误：协议错误	1、网络已经激活了不使用TFT的PDP上下文	1、请检查用户完整流程是否正确
